Region,Region_eng,Population,Rus_perc,Urban_pop,Urban_pop_perc,Rural_pop,Rural_pop_perc,Area,Density_pop_sqkm,Federal_district,Latitude,Longitude
Мурманская область,Murmansk region,741511,"0,51",695764,"93,83",57793,"7,79",144902,"5,12",СЗФО,68.0000418,33.9999151
Орловская область,Oryol Region,733682,"0,5",498910,68,248337,"33,85",24652,"29,76",ЦФО,52.8392765,36.4251709
Республика Северная Осетия,Republic of North Ossetia,697064,"0,48",450865,"64,68",250900,"35,99",7987,"87,27",СКФО,42.793716950000004,43.91586205969284
Республика Марий Эл,Mari El Republic,679094,"0,46",451366,"66,47",230967,"34,01",23375,"29,05",ПФО,56.5767504,47.8817512
Костромская область,Kostroma region,633392,"0,43",464477,"73,33",178847,"28,24",60211,"10,52",ЦФО,58.424756,44.2533273
Псковская область,Pskov region,626046,"0,43",451143,"72,06",185403,"29,61",55399,"11,3",СЗФО,57.5358729,28.8586826
Республика Карелия,The Republic of Karelia,614628,"0,42",500558,"81,44",121926,"19,84",180520,"3,4",СЗФО,62.6194031,33.4920267
Новгородская область,Novgorod region,596173,"0,41",430486,"72,21",175990,"29,52",54501,"10,94",СЗФО,58.2843833,32.5169757
Ямало-Ненецкий автономный округ,Yamalo-Nenets Autonomous Okrug,544008,"0,37",451404,"82,98",87143,"16,02",769250,"0,71",УФО,67.1471631,74.3415488
Республика Хакасия,The Republic of Khakassia,534186,"0,36",372892,"69,81",164621,"30,82",61569,"8,68",СФО,53.4399379,90.0664303
Республика Ингушетия,The Republic of Ingushetia,506688,"0,35",269949,"53,28",218094,"43,04",3123,"162,24",СКФО,43.1655309,44.979682
Сахалинская область,Sakhalin region,488453,"0,33",402043,"82,31",88138,"18,04",87101,"5,61",ДВФО,49.7219665,143.448533
Карачаево-Черкесская Республика,Karachay-Cherkess Republic,465669,"0,32",199223,"42,78",267082,"57,35",14277,"32,61",СКФО,43.7368326,41.7267991
Республика Адыгея,Republic of Adygea,463453,"0,32",213820,"46,14",239556,"51,69",7792,"59,48",ЮФО,44.6939006,40.1520421
Севастополь,Sevastopol,448829,"0,31",405976,"90,45",30694,"6,84",864,"519,48",ЮФО,44.6054434,33.5220842
Республика Тыва,Tyva Republic,327388,"0,22",173853,"53,1",147869,"45,17",168604,"1,94",СФО,51.4017149,93.8582593
Камчатский край,Kamchatka Krai,312438,"0,21",246833,79,68724,22,464275,"0,67",ДВФО,57.1914882,160.0383819
Республика Калмыкия,Republic of Kalmykia,271035,"0,18",125025,"46,13",150388,"55,49",74731,"3,63",ЮФО,46.2313018,45.3275745
Республика Алтай,Altai Republic,220140,"0,15",63214,"28,72",154849,"70,34",92903,"2,37",СФО,50.7114101,86.8572186
Еврейская автономная область,Jewish Autonomous Region,158381,"0,11",111415,"70,35",50599,"31,95",36271,"4,37",ДВФО,48.5601613,132.2775662
Магаданская область,Magadan Region,140199,"0,1",138169,"98,55",5922,"4,22",462464,"0,3",ДВФО,63.5515028,154.014726
Чукотский автономный округ,Chukotka Autonomous Okrug,50726,"0,03",34795,"68,59",14553,"28,69",721481,"0,07",ДВФО,66.0006475,169.4900869
Ненецкий автономный округ,Nenets Autonomous Okrug,44110,"0,03",32049,"72,66",11948,"27,09",176810,"0,25",СЗФО,67.6783253,57.0626853
